Area,Body type:,Brand:,Condition:,Engine capacity:,Fuel type:,Kilometers run:,Listing Title,Model:,Posted On,Price,Registration year:,Sold By,Subarea,Transmission:,Trim / Edition:,URL,Views,Year of Manufacture:
"Dhaka
1797
views",Saloon,Toyota,Used,"2,000 cc","CNG, Octane","116,000 km",Toyota Noah 2011,Noah,23/07/2025 12:56,"Tk 2,100,000",2016,Individual,Uttara,Automatic,,https://bikroy.com/en/ad/toyota-noah-2011-for-sale-dhaka-499,1797,2011
"Dhaka
1171
views",MPV,Toyota,New,"1,800 cc","Petrol, Hybrid, Octane","35,200 km",Toyota Noah Z Hybrid Bronze 2022,Noah,23/07/2025 12:53,"Tk 4,350,000",,Company,Baridhara,Automatic,Z Hybrid Bronze 2022,https://bikroy.com/en/ad/toyota-noah-z-hybrid-bronze-2022-for-sale-dhaka,1171,2022
"Dhaka
9550
views",SUV / 4x4,SsangYong,Used,"1,500 cc","Petrol, Octane","20,000 km",SsangYong Korando 2020,Korando,23/07/2025 12:43,"Tk 3,300,000",2021,Individual,Gulshan,Automatic,,https://bikroy.com/en/ad/ssangyong-korando-2020-for-sale-dhaka-4,9550,2020
"Dhaka
2794
views",MPV,Toyota,Used,"2,000 cc","CNG, Octane","66,000 km",Toyota Noah X 2010,Noah,23/07/2025 12:26,"Tk 2,050,000",2016,Individual,Dhanmondi,Automatic,X,https://bikroy.com/en/ad/toyota-noah-noha-x-2010-for-sale-dhaka,2794,2010
"Dhaka
9
views",Saloon,Toyota,Used,"1,500 cc","Petrol, CNG","88,000 km",Toyota Probox GL 2004,Probox,23/07/2025 12:22,"Tk 710,000",2008,Company,Mirpur,Automatic,GL,https://bikroy.com/en/ad/toyota-probox-gl-2004-for-sale-dhaka-2286,9,2004
Khulna,,Toyota,Reconditioned,"2,000 cc","Petrol, Octane","55,600 km",Toyota Hiace Super GL Ambulance 2019,Hiace,23/07/2025 12:22,"Tk 3,370,000",,Company,Khulna Sadar,Automatic,Super GL Ambulance,https://bikroy.com/en/ad/toyota-hiace-super-gl-ambulance-2019-for-sale-khulna,,2019
"Dhaka
104
views",Saloon,Toyota,Reconditioned,"1,500 cc","Petrol, Octane","65,000 km",Toyota Premio FL PUSH START 2019,Premio,22/07/2025 21:24,"Tk 4,050,000",,Company,Baridhara,Automatic,FL PUSH START,https://bikroy.com/en/ad/toyota-premio-fl-push-start-2019-for-sale-dhaka-6,104,2019
Dhaka,Saloon,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","73,000 km",Toyota Prius A PKG POWER SEAT-4AP 2020,Prius,23/07/2025 10:22,"Tk 3,150,000",,Company,Baridhara,Automatic,A PKG POWER SEAT-4AP,https://bikroy.com/en/ad/toyota-prius-a-pkg-power-seat-4ap-2020-for-sale-dhaka,,2020
"Dhaka
431
views",SUV / 4x4,Toyota,Reconditioned,"2,000 cc","Petrol, Octane","40,000 km",Toyota Harrier Non Hybrid Z Leather 2020,Harrier,23/07/2025 9:42,"Tk 7,800,000",,Company,Baridhara,Automatic,Non Hybrid Z Leather,https://bikroy.com/en/ad/toyota-harrier-non-hybrid-z-leather-2020-for-sale-dhaka-46,431,2020
"Dhaka
3753
views",Hatchback,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","32,000 km",Toyota Fielder HYBRID EX PUSH 2020,Fielder,22/07/2025 15:35,"Tk 2,530,000",,Company,Baridhara,Automatic,HYBRID EX PUSH,https://bikroy.com/en/ad/toyota-fielder-hybrid-ex-push-2020-for-sale-dhaka-10,3753,2020
"Dhaka
99
views",Saloon,Toyota,Used,"1,500 cc","Petrol, CNG","61,530 km",Toyota Corolla X New Shape 2006,Corolla,22/07/2025 11:46,"Tk 1,330,000",2011,Individual,Mirpur,Automatic,X New Shape,https://bikroy.com/en/ad/toyota-corolla-x-new-shape-2006-for-sale-dhaka-20,99,2006
"Dhaka
2774
views",MPV,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","1,100 km",Toyota Corolla Cross Z PKG-HARD TOP... 2024,Corolla Cross,23/07/2025 12:06,"Tk 5,300,000",,Company,Baridhara,Automatic,Z PKG-HARD TOP...,https://bikroy.com/en/ad/toyota-corolla-cross-z-pkg-hard-top-2024-for-sale-dhaka-1,2774,2024
"Dhaka
3181
views",Hatchback,Toyota,New,"1,800 cc","Petrol, Hybrid, Octane","79,009 km",Toyota Corolla Touring WXB Hybrid 2020,Corolla,23/07/2025 11:59,"Tk 2,850,000",,Company,Baridhara,Automatic,Touring WXB Hybrid,https://bikroy.com/en/ad/toyota-corolla-touring-wxb-hybrid-2020-for-sale-dhaka-4,3181,2020
"Khulna
15
views",,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","35,000 km",Toyota Prius S-Touring Selection 2020,Prius,23/07/2025 11:50,"Tk 3,100,000",,Company,Khulna Sadar,Automatic,S-Touring Selection,https://bikroy.com/en/ad/toyota-prius-s-touring-selection-2020-for-sale-khulna-36,15,2020
"Dhaka
237
views",Estate,Honda,Used,"1,500 cc","Hybrid, Octane","80,000 km",Honda Jade Hybrid Sensing 2016,Jade,7/07/2025 1:31,"Tk 2,500,000",2021,Individual,Mirpur,Automatic,Hybrid Sensing,https://bikroy.com/en/ad/honda-jade-hybrid-sensing-2016-for-sale-dhaka,237,2016
"Dhaka
2452
views",Hatchback,Toyota,Used,"1,500 cc",Octane,"78,114 km",Toyota Raum G Package Power Door 2003,Raum,23/07/2025 11:43,"Tk 985,000",2009,Company,Mirpur,Automatic,G Package Power Door,https://bikroy.com/en/ad/toyota-raum-g-package-power-door-2003-for-sale-dhaka-2,2452,2003
"Dhaka
1581
views",Saloon,Toyota,Used,"1,500 cc",Octane,"68,114 km",Toyota Sienta G 7 Seat Power Door 2013,Sienta,23/07/2025 11:37,"Tk 1,620,000",2018,Company,Mirpur,Automatic,G 7 Seat Power Door,https://bikroy.com/en/ad/toyota-sienta-g-7-seat-power-door-2013-for-sale-dhaka,1581,2013
"Dhaka
2530
views",Coupé/Sports,Lexus,Reconditioned,"2,500 cc","Petrol, Hybrid, Octane","1,950 km",Lexus RX Z Hybrid New Shape. 2023,RX,23/07/2025 11:24,"Tk 16,000,000",,Company,Baridhara,Automatic,Z Hybrid New Shape.,https://bikroy.com/en/ad/lexus-rx-z-hybrid-new-shape-2023-for-sale-dhaka,2530,2023
"Dhaka
2620
views",Hatchback,Mitsubishi,Used,"1,800 cc",Octane,"110,000 km",Mitsubishi RVR 2010,RVR,23/07/2025 11:24,"Tk 1,580,000",2011,Individual,Mohammadpur,Automatic,,https://bikroy.com/en/ad/mitsubishi-rvr-2010-for-sale-dhaka-45,2620,2010
"Dhaka
10
views",MPV,Toyota,Used,"1,500 cc","Octane, LPG","20,000 km",Toyota LiteAce Noah 2009,LiteAce,23/07/2025 11:21,"Tk 630,000",2015,Individual,Mirpur,Automatic,Noah,https://bikroy.com/en/ad/toyota-liteace-noah-2009-for-sale-dhaka-7,10,2009
"Dhaka
2190
views",MPV,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","1,400 km",Toyota Noah S Z All Option 2024,Noah,23/07/2025 11:21,"Tk 5,050,000",,Company,Baridhara,Automatic,S Z All Option,https://bikroy.com/en/ad/toyota-noah-s-z-all-option-2024-for-sale-dhaka,2190,2024
"Dhaka
2871
views",Saloon,Toyota,Used,"1,500 cc","CNG, Octane","93,485 km",Toyota Allion Push Start G Package 2008,Allion,23/07/2025 10:57,"Tk 1,750,000",2012,Company,Mirpur,Automatic,Push Start G Package,https://bikroy.com/en/ad/toyota-allion-push-start-g-package-2008-for-sale-dhaka,2871,2008
"Dhaka
3282
views",Saloon,Toyota,Used,"1,800 cc","CNG, Octane","130,000 km",Toyota Corona select 1992,Corona,23/07/2025 10:44,"Tk 285,000",1997,Individual,Basundhara,Automatic,select,https://bikroy.com/en/ad/toyota-corona-select-1992-for-sale-dhaka-1,3282,1992
"Dhaka
7212
views",Hatchback,Toyota,Used,"1,500 cc","CNG, Octane","79,563 km",Toyota Probox . 2008,Probox,23/07/2025 9:50,"Tk 870,000",2014,Individual,Mirpur,Automatic,.,https://bikroy.com/en/ad/toyota-probox-2008-for-sale-dhaka-119,7212,2008
"Dhaka
464
views",MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"63,000 km",Toyota Noah S-Z Package Leg Rest 2022,Noah,23/07/2025 9:34,"Tk 4,850,000",,Individual,Mirpur,Automatic,S-Z Package Leg Rest,https://bikroy.com/en/ad/toyota-noah-s-z-package-leg-rest-2022-for-sale-dhaka,464,2022
"Dhaka
9136
views",Saloon,Audi,Used,"2,000 cc",Octane,"4,700 km",Audi A5 2.0 S Line 2017,A5,12/07/2025 19:10,"Tk 8,300,000",2017,Individual,Cantonment,Automatic,Audi A5 2.0 S Line,https://bikroy.com/en/ad/audi-a5-20-s-line-2017-for-sale-dhaka,9136,2017
"Dhaka
1645
views",Saloon,Toyota,Used,"1,500 cc","CNG, Octane","89,263 km",Toyota Corolla x 2005,Corolla,23/07/2025 9:03,"Tk 1,285,000",2012,Individual,Mirpur,Automatic,x,https://bikroy.com/en/ad/toyota-corolla-x-2005-for-sale-dhaka-5962,1645,2005
"Dhaka
4821
views",Hatchback,Toyota,Used,"1,500 cc","Hybrid, Octane","80,000 km",Toyota Aqua PUSH START 2013,Aqua,23/07/2025 7:51,"Tk 1,230,000",2018,Individual,Lalmatia,Automatic,PUSH START,https://bikroy.com/en/ad/toyota-aqua-push-start-2013-for-sale-dhaka-236,4821,2013
"Chattogram
919
views",Saloon,Toyota,Reconditioned,"1,500 cc",Octane,"2,929 km",Toyota Allion G PLUS PKG 2900 KM!! 2020,Allion,23/07/2025 7:28,"Tk 4,650,000",,Company,Agrabad,Automatic,G PLUS PKG 2900 KM!!,https://bikroy.com/en/ad/toyota-allion-g-plus-pkg-2900-km-2020-for-sale-chattogram,919,2020
"Sylhet
727
views",Estate,Toyota,Used,"1,500 cc","Octane, LPG","99,999 km",Toyota Succeed ULX 2012,Succeed,21/07/2025 18:37,"Tk 1,350,000",2017,Company,Shahi Eidgah,Automatic,ULX,https://bikroy.com/en/ad/toyota-succeed-ulx-2012-for-sale-sylhet-1,727,2012
"Dhaka
7181
views",SUV / 4x4,Toyota,Used,"2,000 cc",Octane,"47,000 km",Toyota Harrier . 2013,Harrier,23/07/2025 6:15,"Tk 3,850,000",2016,Individual,Gulshan,Automatic,.,https://bikroy.com/en/ad/toyota-harrier-jbl-sunroof-2013-for-sale-dhaka,7181,2013
"Dhaka
676
views",Hatchback,Toyota,Used,"1,300 cc",Octane,"74,000 km",Toyota Vitz 2012,Vitz,23/07/2025 5:27,"Tk 1,310,000",2017,Individual,Basundhara,Automatic,,https://bikroy.com/en/ad/toyota-vitz-2012-for-sale-dhaka-454,676,2012
"Dhaka
2342
views",Hatchback,Toyota,Used,"1,500 cc","Hybrid, Octane","61,000 km",Toyota Aqua G 2013,Aqua,23/07/2025 5:07,"Tk 1,325,000",2018,Individual,Lalmatia,Automatic,G,https://bikroy.com/en/ad/toyota-aqua-g-2013-for-sale-dhaka-358,2342,2013
"Dhaka
6159
views",Hatchback,Toyota,Used,"1,331 cc",Octane,"100,000 km",Toyota Starlet REFLET 1999,Starlet,23/07/2025 3:45,"Tk 540,000",2003,Individual,Mirpur,Automatic,REFLET,https://bikroy.com/en/ad/toyota-starlet-reflet-1999-for-sale-dhaka-7,6159,1999
"Dhaka
91
views",Saloon,Toyota,Used,"1,500 cc","Petrol, CNG","150,000 km",Toyota Premio . 2008,Premio,22/07/2025 8:52,"Tk 2,000,000",2025,Individual,Basundhara,Automatic,.,https://bikroy.com/en/ad/toyota-premio-2008-for-sale-dhaka-1033,91,2008
"Dhaka
2639
views",Saloon,Toyota,Used,"1,500 cc","Octane, LPG","94,300 km",Toyota Premio 2014,Premio,23/07/2025 3:09,"Tk 2,520,000",2019,Individual,Mohammadpur,Automatic,,https://bikroy.com/en/ad/toyota-premio-2014-for-sale-dhaka-773,2639,2014
"Dhaka
772
views",MPV,Toyota,Used,"1,800 cc","Hybrid, Octane","100,000 km",Toyota Voxy . 2017,Voxy,23/07/2025 3:00,"Tk 2,350,000",2023,Individual,Mirpur,Automatic,.,https://bikroy.com/en/ad/toyota-voxy-2017-black-for-sale-dhaka,772,2017
"Dhaka
17208
views",Saloon,Toyota,Used,"1,500 cc",Octane,"93,000 km",Toyota Premio FL Push start G-4.5 2020,Premio,23/07/2025 1:26,"Tk 4,100,000",2024,Individual,Mirpur,Automatic,FL Push start G-4.5,https://bikroy.com/en/ad/toyota-premio-fl-push-start-g-45-2020-for-sale-dhaka,17208,2020
"Dhaka
365
views",Saloon,Toyota,Used,"1,500 cc","Octane, LPG","100,000 km",Toyota Carina 2000,Carina,23/07/2025 0:49,"Tk 1,260,000",2000,Individual,Mohammadpur,Automatic,,https://bikroy.com/en/ad/toyota-carina-2000-for-sale-dhaka-68,365,2000
"Dhaka
1237
views",MPV,Toyota,Reconditioned,"1,500 cc",Hybrid,"42,000 km",Toyota Sienta G Kero 2020,Sienta,23/07/2025 0:16,"Tk 2,890,000",,Company,Mohammadpur,Automatic,G Kero,https://bikroy.com/en/ad/toyota-sienta-g-kero-2020-for-sale-dhaka-3,1237,2020
"Dhaka
918
views",SUV / 4x4,Honda,Reconditioned,"2,000 cc",Hybrid,"36,000 km",Honda CR-V EX Masterpiece 2020,CR-V,23/07/2025 0:16,"Tk 6,070,000",,Company,Mohammadpur,Manual,EX Masterpiece,https://bikroy.com/en/ad/honda-cr-v-ex-masterpiece-2020-for-sale-dhaka-98,918,2020
"Dhaka
1228
views",Saloon,Toyota,Used,"1,500 cc","Hybrid, Octane","45,000 km",Toyota Axio Hybrid 2014,Axio,22/07/2025 23:25,"Tk 1,625,000",2020,Individual,Uttara,Automatic,Hybrid,https://bikroy.com/en/ad/toyota-axio-hybrid-2014-for-sale-dhaka-1124,1228,2014
"Dhaka
703
views",Saloon,Honda,Reconditioned,"1,500 cc",Petrol,"44,000 km",Honda Grace Lx 2020,Grace,22/07/2025 22:40,"Tk 2,930,000",,Company,Mohammadpur,Automatic,Lx,https://bikroy.com/en/ad/honda-grace-lx-2020-for-sale-dhaka-10,703,2020
"Dhaka
271
views",Saloon,Toyota,Reconditioned,"1,500 cc","Petrol, Octane","68,000 km",Toyota Allion G LED 2020,Allion,22/07/2025 22:36,"Tk 3,950,000",,Company,Dhanmondi,Automatic,G LED,https://bikroy.com/en/ad/toyota-allion-g-led-2020-for-sale-dhaka-8,271,2020
"Dhaka
325
views",,Toyota,Reconditioned,"1,800 cc",Hybrid,"50,000 km",Toyota Corolla Cross Z LEATHER PKG HYBRID 2022,Corolla Cross,22/07/2025 22:31,"Tk 4,450,000",,Company,Dhanmondi,Automatic,Z LEATHER PKG HYBRID,https://bikroy.com/en/ad/toyota-corolla-cross-z-leather-pkg-hybrid-2022-for-sale-dhaka-2,325,2022
"Dhaka
3176
views",Estate,Toyota,Used,"1,500 cc","CNG, Octane","85,020 km",Toyota Spacio G 2001,Spacio,22/07/2025 22:22,"Tk 780,000",2005,Company,Mirpur,Automatic,G,https://bikroy.com/en/ad/toyota-spacio-g-2001-for-sale-dhaka-11,3176,2001
"Dhaka
1212
views",Hatchback,Honda,Reconditioned,"1,500 cc",Hybrid,"29,000 km",Honda Fit e:HEV Home 2020,Fit,22/07/2025 21:38,"Tk 2,340,000",,Company,Mohammadpur,Automatic,e:HEV Home,https://bikroy.com/en/ad/honda-fit-ehev-home-2020-for-sale-dhaka-7,1212,2020
"Dhaka
504
views",Saloon,Toyota,Used,"1,500 cc","CNG, Octane","124,642 km",Toyota Corolla X Family Used 2006,Corolla,22/07/2025 21:13,"Tk 1,325,000",2010,Company,Mirpur,Automatic,X Family Used,https://bikroy.com/en/ad/toyota-corolla-x-family-used-2006-for-sale-dhaka,504,2006
"Dhaka
10453
views",MPV,Toyota,Used,"2,400 cc",Diesel,"23,000 km",Toyota Hilux Carryboy doublecabin 2018,Hilux,22/07/2025 20:46,"Tk 4,800,000",2019,Company,Uttara,Automatic,Carryboy doublecabin,https://bikroy.com/en/ad/toyota-hilux-carryboy-doublecabin-2018-for-sale-dhaka,10453,2018
"Dhaka
2326
views",MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"33,000 km",Toyota Voxy S-Z PACKAGE 2022,Voxy,22/07/2025 20:44,"Tk 4,850,000",,Company,Baridhara,Automatic,S-Z PACKAGE 2022,https://bikroy.com/en/ad/toyota-voxy-s-z-package-2022-for-sale-dhaka-8,2326,2022
"Dhaka
244
views",SUV / 4x4,Honda,Reconditioned,"1,500 cc","Hybrid, Octane","42,131 km",Honda Vezel Z-HARD TOP 4grd 2021,Vezel,22/07/2025 20:39,"Tk 4,420,000",,Company,Gulshan,Automatic,Z-HARD TOP 4grd,https://bikroy.com/en/ad/honda-vezel-z-hard-top-4grd-2021-for-sale-dhaka,244,2021
"Dhaka
1523
views",Hatchback,Nissan,Used,"1,500 cc",Octane,"85,600 km",Nissan Juke 2010,Juke,17/07/2025 16:51,"Tk 1,350,000",2016,Individual,Dhanmondi,Automatic,,https://bikroy.com/en/ad/nissan-juke-2010-for-sale-dhaka-985,1523,2010
"Dhaka
446
views",Saloon,Toyota,Used,"1,500 cc","CNG, Octane","72,229 km",Toyota Corolla X LTD 2005,Corolla,22/07/2025 20:25,"Tk 1,380,000",2008,Company,Mohammadpur,Automatic,X LTD,https://bikroy.com/en/ad/toyota-corolla-x-ltd-2005-for-sale-dhaka-32,446,2005
"Dhaka
1289
views",SUV / 4x4,Range Rover,New,"3,000 cc","Petrol, Octane",0 km,Range Rover Vogue MILD HYBRID 3.0L 2023,Vogue,22/07/2025 20:08,"Tk 76,500,000",,Company,Banani,Automatic,MILD HYBRID 3.0L,https://bikroy.com/en/ad/range-rover-vogue-mild-hybrid-30l-2023-for-sale-dhaka,1289,2023
"Dhaka
214
views",Saloon,Toyota,Used,"1,500 cc",Octane,"43,220 km",Toyota Premio F-EX 2016,Premio,22/07/2025 19:45,"Tk 3,190,000",2016,Company,Banani,Automatic,F-EX,https://bikroy.com/en/ad/toyota-premio-f-ex-2016-for-sale-dhaka-1941,214,2016
"Dhaka
118
views",MPV,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","23,029 km",Toyota Voxy S-Z 4.5grd BLACK 2022,Voxy,22/07/2025 19:41,"Tk 5,490,000",,Company,Gulshan,Automatic,S-Z 4.5grd BLACK,https://bikroy.com/en/ad/toyota-voxy-s-z-45grd-black-2022-for-sale-dhaka,118,2022
"Dhaka
568
views",Saloon,Toyota,Used,"1,500 cc","CNG, Octane","108,000 km",Toyota Premio . 2013,Premio,15/07/2025 13:30,"Tk 2,450,000",2019,Individual,Uttara,Automatic,.,https://bikroy.com/en/ad/toyota-premio-f-2013-for-sale-dhaka-524,568,2013
"Dhaka
1863
views",MPV,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","12,250 km","Toyota Voxy S-Z PKG, Grade 5 2022",Voxy,22/07/2025 19:34,"Tk 5,700,000",,Company,Baridhara,Automatic,"S-Z PKG, Grade 5",https://bikroy.com/en/ad/toyota-voxy-s-z-pkg-grade-5-2022-for-sale-dhaka,1863,2022
"Dhaka
1438
views",Saloon,Toyota,Used,"1,500 cc","CNG, Octane","96,500 km",Toyota Corolla new shape full ok 2004,Corolla,22/07/2025 19:30,"Tk 1,180,000",2010,Company,Mohammadpur,Automatic,new shape full ok,https://bikroy.com/en/ad/toyota-corolla-new-shape-full-ok-2004-for-sale-dhaka-1,1438,2004
"Dhaka
817
views",MPV,Toyota,Reconditioned,"1,800 cc","Hybrid, Octane","21,010 km","Toyota Noah S-Z,gray 5grd 2022",Noah,22/07/2025 19:27,"Tk 5,270,000",,Company,Gulshan,Automatic,"S-Z,gray 5grd",https://bikroy.com/en/ad/toyota-noah-s-zgray-5grd-2022-for-sale-dhaka-2,817,2022
"Dhaka
1212
views",SUV / 4x4,Land Rover,Used,"2,000 cc","Petrol, Octane","18,000 km",Land Rover Defender 110 P400 Chelsea 2023,Defender,22/07/2025 18:54,"Tk 25,000,000",2023,Company,Gulshan,Automatic,110 P400 Chelsea,https://bikroy.com/en/ad/land-rover-defender-110-p400-chelsea-2023-for-sale-dhaka,1212,2023
"Dhaka
2661
views",SUV / 4x4,Lexus,Used,"3,500 cc","Petrol, Hybrid, Octane","23,414 km",Lexus RX 450H 7Seater LWB 2021,RX,22/07/2025 18:54,"Tk 13,000,000",2022,Company,Gulshan,Automatic,450H 7Seater LWB,https://bikroy.com/en/ad/lexus-rx-450h-7seater-lwb-2021-for-sale-dhaka,2661,2021
"Dhaka
20139
views",Saloon,Toyota,Reconditioned,"1,800 cc","Hybrid, Electric, Octane","26,000 km",Toyota Prius A PREMIUM NAVI PKG 2020,Prius,22/07/2025 18:00,"Tk 3,390,000",,Company,Baridhara,Automatic,A PREMIUM NAVI PKG,https://bikroy.com/en/ad/toyota-prius-a-premium-navi-pkg-2020-for-sale-dhaka-1,20139,2020
"Dhaka
7981
views",SUV / 4x4,Toyota,Used,"2,500 cc",Diesel,"120,000 km",Toyota Hilux Carryboy Diesel 4Wd 2010,Hilux,22/07/2025 16:13,"Tk 2,450,000",2010,Company,Uttara,Automatic,Carryboy Diesel 4Wd,https://bikroy.com/en/ad/toyota-hilux-carryboy-diesel-4wd-2010-for-sale-dhaka,7981,2010
"Dhaka
4394
views",Coupé/Sports,Toyota,Used,"2,000 cc",Octane,"26,000 km",Toyota Celica Sports Car 2004,Celica,8/07/2025 18:28,"Tk 1,770,000",2009,Company,Uttara,Automatic,Sports Car,https://bikroy.com/en/ad/toyota-celica-sports-car-2004-for-sale-dhaka,4394,2004
"Dhaka
3910
views",Saloon,Toyota,Used,"1,500 cc","CNG, Octane","93,000 km",Toyota Premio F 2004,Premio,22/07/2025 17:42,"Tk 1,459,000",2010,Company,Mohammadpur,Automatic,F,https://bikroy.com/en/ad/toyota-premio-f-2004-for-sale-dhaka-2510,3910,2004
"Dhaka
2892
views",Saloon,Toyota,Used,"1,500 cc","Octane, LPG","68,114 km",Toyota Axio X Limited 2011,Axio,22/07/2025 16:35,"Tk 1,750,000",2016,Company,Mirpur,Automatic,X Limited,https://bikroy.com/en/ad/toyota-axio-x-limited-2011-for-sale-dhaka-451,2892,2011
"Dhaka
897
views",SUV / 4x4,Nissan,Used,"2,000 cc","Hybrid, Octane","64,207 km",Nissan X-Trail 2018,X-Trail,22/07/2025 16:33,"Tk 2,650,000",2021,Company,Banani,Automatic,,https://bikroy.com/en/ad/nissan-x-trail-2018-for-sale-dhaka-449,897,2018
"Dhaka
373
views",,Nissan,Used,"2,000 cc",Octane,"48,000 km",Nissan X-Trail 2014,X-Trail,22/07/2025 16:20,"Tk 2,950,000",2019,Company,Banani,Automatic,2014,https://bikroy.com/en/ad/nissan-x-trail-2014-for-sale-dhaka-864,373,2014
"Dhaka
4557
views",Saloon,Toyota,Used,"1,500 cc","CNG, Octane","78,114 km",Toyota Corolla X New Shape 2005,Corolla,22/07/2025 16:06,"Tk 1,275,000",2009,Company,Mirpur,Automatic,X New Shape,https://bikroy.com/en/ad/toyota-corolla-x-new-shape-2005-for-sale-dhaka-316,4557,2005
"Dhaka
358
views",Hatchback,Toyota,Used,"1,500 cc","Hybrid, Octane","85,000 km",Toyota Fielder G Plus 2018,Fielder,12/07/2025 16:34,"Tk 2,100,000",2023,Individual,Basundhara,Automatic,Fielder G Plus,https://bikroy.com/en/ad/toyota-fielder-g-plus-2018-for-sale-dhaka,358,2018
"Dhaka
232
views",Saloon,Toyota,Used,"1,500 cc",Octane,"86,000 km",Toyota Allion 2017 A15 2016,Allion,22/07/2025 16:07,"Tk 3,050,000",2021,Individual,Mirpur,Automatic,Allion 2017 A15,https://bikroy.com/en/ad/toyota-allion-2017-a15-2016-for-sale-dhaka,232,2016
"Dhaka
281
views",MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"33,189 km",Toyota Esquire Gi Premium ready 2019,Esquire,22/07/2025 15:16,"Tk 3,420,000",,Company,Mirpur,Automatic,Gi Premium ready,https://bikroy.com/en/ad/toyota-esquire-gi-premium-ready-2019-for-sale-dhaka-28,281,2019
"Dhaka
135
views",Saloon,Toyota,Used,"1,500 cc","Petrol, CNG","104,500 km",Toyota Axio . 2012,Axio,23/07/2025 10:09,"Tk 1,680,000",2017,Individual,Elephant Road,Automatic,.,https://bikroy.com/en/ad/toyota-axio-2012-for-sale-dhaka-1476,135,2012
"Dhaka
7791
views",MPV,Toyota,Reconditioned,"1,800 cc",Hybrid,"36,000 km",Toyota Noah S-Z Package pearl 2022,Noah,22/07/2025 14:42,"Tk 4,550,000",2025,Company,Baridhara,Automatic,S-Z Package pearl,https://bikroy.com/en/ad/toyota-noah-s-z-package-pearl-2022-for-sale-dhaka,7791,2022
"Dhaka
213
views",,Toyota,Used,"1,500 cc",Octane,"85,000 km",Toyota Axio . 2013,Axio,22/07/2025 14:32,"Tk 1,850,000",,Individual,Mohammadpur,Manual,.,https://bikroy.com/en/ad/toyota-axio-2013-for-sale-dhaka-1178,213,2013
"Dhaka
1196
views",SUV / 4x4,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","47,000 km",Toyota Corolla Cross Purple Bodykit 2023,Corolla Cross,22/07/2025 20:39,"Tk 4,430,000",,Company,Baridhara,Automatic,Purple Bodykit,https://bikroy.com/en/ad/toyota-corolla-cross-purple-bodykit-2023-for-sale-dhaka,1196,2023
"Dhaka
1717
views",Saloon,Toyota,Used,"1,500 cc","CNG, Octane","112,900 km",Toyota Axio Limited Edition 2009,Axio,22/07/2025 14:03,"Tk 1,390,000",2015,Company,Mirpur,Automatic,Limited Edition,https://bikroy.com/en/ad/toyota-axio-limited-edition-2009-for-sale-dhaka,1717,2009
"Dhaka
221
views",SUV / 4x4,Mitsubishi,Used,"2,000 cc",Octane,"85,700 km",Mitsubishi Outlander Standard-7 Seaters 2013,Outlander,22/07/2025 13:40,"Tk 2,700,000",2018,Individual,Mirpur,Automatic,Standard-7 Seaters,https://bikroy.com/en/ad/mitsubishi-outlander-standard-7-seaters-2013-for-sale-dhaka,221,2013
"Dhaka Division
233
views",Saloon,Nissan,Used,"1,500 cc","Petrol, CNG","291,856 km",Nissan Bluebird . 2008,Bluebird,23/07/2025 10:29,"Tk 1,200,000",2008,Individual,Kishoreganj,Automatic,.,https://bikroy.com/en/ad/nissan-bluebird-2008-for-sale-dhaka-division,233,2008
"Dhaka
138
views",Hatchback,Toyota,Used,"1,500 cc",Octane,"90,336 km",Toyota Aqua 2017,Aqua,21/07/2025 18:19,"Tk 1,750,000",2022,Individual,Gulshan,Automatic,,https://bikroy.com/en/ad/toyota-aqua-2017-for-sale-dhaka-70,138,2017
"Dhaka
262
views",Hatchback,Toyota,Used,"1,500 cc","Hybrid, Octane","167,000 km",Toyota Aqua 2014,Aqua,22/07/2025 12:10,"Tk 1,300,000",2019,Individual,Mirpur,Automatic,,https://bikroy.com/en/ad/toyota-aqua-2014-for-sale-dhaka-421,262,2014
"Dhaka
1309
views",SUV / 4x4,Toyota,Reconditioned,"2,000 cc",Petrol,"33,000 km",Toyota Harrier 2021,Harrier,22/07/2025 12:12,"Tk 9,100,000",2021,Individual,Mirpur,Automatic,2021 Toyota Harrier,https://bikroy.com/en/ad/toyota-harrier-2021-for-sale-dhaka-83,1309,2021
"Dhaka
811
views",MPV,Toyota,Reconditioned,"2,000 cc",Petrol,"76,000 km",Toyota Noah . 2020,Noah,22/07/2025 12:12,"Tk 4,200,000",2020,Individual,Mirpur,Automatic,.,https://bikroy.com/en/ad/toyota-noah-2020-for-sale-dhaka-46,811,2020
