Area,Body type:,Brand:,Condition:,Engine capacity:,Fuel type:,Kilometers run:,Listing Title,Model:,Posted On,Price,Registration year:,Sold By,Subarea,Transmission:,Trim / Edition:,URL,Views,Year of Manufacture:
"Dhaka
183
views",Saloon,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","65,143 km",Toyota C-HR G-LED BLACK HYBRID 2020,C-HR,28/07/2025 11:03,"Tk 3,600,000",,Company,Baridhara,Automatic,G-LED BLACK HYBRID,https://bikroy.com/en/ad/toyota-c-hr-g-led-black-hybrid-2020-for-sale-dhaka,183,2020
"Dhaka
477
views",SUV / 4x4,Honda,Reconditioned,"1,500 cc","Hybrid, Octane","29,855 km",Honda Vezel Z LEATHER 2021,Vezel,28/07/2025 11:03,"Tk 4,250,000",,Company,Basundhara,Automatic,Z LEATHER,https://bikroy.com/en/ad/honda-vezel-z-leather-2021-for-sale-dhaka,477,2021
"Dhaka
2
views",SUV / 4x4,Honda,Reconditioned,"1,500 cc","Petrol, Octane","22,041 km",Honda CR-V EX MASTER PIECE NH 2021,CR-V,28/07/2025 11:03,"Tk 6,300,000",,Company,Basundhara,Automatic,EX MASTER PIECE NH,https://bikroy.com/en/ad/honda-cr-v-ex-master-piece-nh-2021-for-sale-dhaka,2,2021
Dhaka,Saloon,Maserati,Reconditioned,"2,000 cc",Octane,"1,800 km",Maserati Ghibli 2.0 L Turbo 2021,Ghibli,28/07/2025 11:03,"Tk 12,000,000",,Company,Basundhara,Automatic,2.0 L Turbo,https://bikroy.com/en/ad/maserati-ghibli-20-l-turbo-2021-for-sale-dhaka,,2021
"Dhaka
18
views",SUV / 4x4,Toyota,Reconditioned,"1,500 cc",Hybrid,"81,284 km",Toyota Fielder Hybrid Ex ReadyDhaka 2020,Fielder,28/07/2025 11:03,"Tk 2,430,000",,Company,Mirpur,Automatic,Hybrid Ex ReadyDhaka,https://bikroy.com/en/ad/toyota-fielder-hybrid-ex-readydhaka-2020-for-sale-dhaka,18,2020
"Dhaka
48
views",SUV / 4x4,Honda,Reconditioned,"1,500 cc",Octane,"80,000 km",Honda Vezel X Sensing 2020,Vezel,28/07/2025 11:03,"Tk 3,400,000",,Company,Gulshan,Automatic,X Honda Sensing,https://bikroy.com/en/ad/honda-vezel-x-sensing-2020-for-sale-dhaka-4,48,2020
"Dhaka
30
views",Saloon,Honda,Reconditioned,"1,500 cc",Hybrid,"66,554 km",Honda Insight Ex Black style 2020,Insight,28/07/2025 11:03,"Tk 4,050,000",,Company,Gulshan,Automatic,Ex Black style,https://bikroy.com/en/ad/honda-insight-ex-black-style-2020-for-sale-dhaka-15,30,2020
"Khulna
34
views",Hatchback,Toyota,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","96,325 km",Toyota Aqua S-STYEL PUSH SENSOR 2020,Aqua,28/07/2025 11:03,"Tk 1,920,000",,Company,Khulna Sadar,Automatic,S-STYEL PUSH SENSOR,https://bikroy.com/en/ad/toyota-aqua-s-styel-push-sensor-2020-for-sale-khulna-2,34,2020
"Dhaka
1015
views",Hatchback,Toyota,Reconditioned,660 cc,"Petrol, Octane","80,000 km",Toyota PIXIS EPOCH 2020,Other Model,28/07/2025 11:03,"Tk 1,200,000",,Company,Gulshan,Automatic,PIXIS EPOCH,https://bikroy.com/en/ad/toyota-pixis-epoch-2020-for-sale-dhaka-2,1015,2020
"Dhaka
23
views",Saloon,Toyota,Reconditioned,"1,800 cc",Hybrid,"45,000 km",Toyota Corolla WXB 2021,Corolla,28/07/2025 11:03,"Tk 3,200,000",,Company,Gulshan,Automatic,WXB,https://bikroy.com/en/ad/toyota-corolla-wxb-2021-for-sale-dhaka-4,23,2021
"Dhaka
159
views",SUV / 4x4,Honda,New,"1,500 cc","Petrol, Hybrid, Octane","22,000 km",Honda CR-V Ex Non Hybrid 2021,CR-V,28/07/2025 11:03,"Tk 6,270,000",,Company,Baridhara,Automatic,Ex Non Hybrid,https://bikroy.com/en/ad/honda-cr-v-ex-non-hybrid-2021-for-sale-dhaka,159,2021
"Dhaka
1095
views",SUV / 4x4,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","76,000 km",Toyota C-HR G Nero Mode 4.5 Grad 2019,C-HR,28/07/2025 11:03,"Tk 3,300,000",,Company,Baridhara,Automatic,G Nero Mode 4.5 Grad,https://bikroy.com/en/ad/toyota-c-hr-g-nero-mode-45-grad-2019-for-sale-dhaka,1095,2019
"Dhaka
157
views",MPV,Toyota,New,"1,500 cc","Petrol, Hybrid, Octane","37,000 km",Toyota Sienta G Safety Hybrid 2021,Sienta,28/07/2025 11:03,"Tk 2,880,000",,Company,Baridhara,Automatic,G Safety Hybrid 2021,https://bikroy.com/en/ad/toyota-sienta-g-safety-hybrid-2021-for-sale-dhaka,157,2021
"Dhaka
176
views",,Toyota,Reconditioned,"1,790 cc","Hybrid, Octane","61,751 km",Toyota Prius S 2019,Prius,28/07/2025 11:03,"Tk 3,650,000",,Company,Baridhara,Automatic,S,https://bikroy.com/en/ad/toyota-prius-s-2019-for-sale-dhaka-181,176,2019
"Dhaka
53
views",Hatchback,Toyota,Used,"1,500 cc",Octane,"60,000 km",Toyota Fielder X LIMITED PACKAGE 2016,Fielder,28/07/2025 11:03,"Tk 2,050,000",2021,Company,Khilgaon,Automatic,X LIMITED PACKAGE,https://bikroy.com/en/ad/toyota-fielder-x-limited-package-2016-for-sale-dhaka-46,53,2016
Dhaka,SUV / 4x4,Nissan,Used,"2,000 cc",Octane,"76,859 km",Nissan X-Trail খুবই ভালো কন্ডিশন 2012,X-Trail,28/07/2025 11:03,"Tk 1,995,000",2017,Company,Uttara,Automatic,খুবই ভালো কন্ডিশন,https://bikroy.com/en/ad/nissan-x-trail-khubi-bhaalo-knddishn-2012-for-sale-dhaka,,2012
Dhaka,Saloon,Honda,Reconditioned,"1,500 cc","Petrol, Hybrid, Octane","49,000 km",Honda Insight EX SENSING PACKAGE 2020,Insight,28/07/2025 11:03,"Tk 4,150,000",,Company,Baridhara,Automatic,EX SENSING PACKAGE,https://bikroy.com/en/ad/honda-insight-ex-sensing-package-2020-for-sale-dhaka-2,,2020
"Dhaka
147
views",,Toyota,Reconditioned,"1,990 cc",Octane,"51,999 km",Toyota RAV4 G- 2020,RAV4,28/07/2025 11:03,"Tk 7,200,000",,Company,Baridhara,Automatic,G-,https://bikroy.com/en/ad/toyota-rav4-g-2020-for-sale-dhaka-10,147,2020
"Dhaka
125
views",,Toyota,Reconditioned,"1,790 cc","Hybrid, Octane","52,145 km",Toyota Prius S touring Selection 2021,Prius,28/07/2025 11:03,"Tk 3,950,000",,Company,Baridhara,Automatic,S touring Selection,https://bikroy.com/en/ad/toyota-prius-s-touring-selection-2021-for-sale-dhaka-18,125,2021
"Dhaka
157
views",SUV / 4x4,Toyota,Reconditioned,"1,800 cc","Petrol, Hybrid, Octane","128,001 km",Toyota Corolla Cross Z Leather Black 2021,Corolla Cross,28/07/2025 11:01,"Tk 4,100,000",,Company,Baridhara,Automatic,Z Leather Black,https://bikroy.com/en/ad/toyota-corolla-cross-z-leather-black-2021-for-sale-dhaka-7,157,2021
Dhaka,SUV / 4x4,Nissan,Reconditioned,"2,000 cc","Petrol, Octane","21,000 km",Nissan X-Trail 7 SEATER NON HYBRID 2019,X-Trail,28/07/2025 11:01,"Tk 5,600,000",,Company,Basundhara,Automatic,7 SEATER NON HYBRID,https://bikroy.com/en/ad/nissan-x-trail-7-seater-non-hybrid-2019-for-sale-dhaka,,2019
Dhaka,MPV,Toyota,Used,"2,000 cc",Octane,"47,210 km",Toyota Esquire GS Premium PKG 2016,Esquire,28/07/2025 11:01,"Tk 3,430,000",2021,Company,Banani,Automatic,GS Premium PKG,https://bikroy.com/en/ad/toyota-esquire-gs-premium-pkg-2016-for-sale-dhaka-2,,2016
